record_id,batch,template_flag,pubmedbert__text_section_tagged__n_tokens,pubmedbert__text_section_tagged__n_unk,pubmedbert__text_section_tagged__unk_rate,pubmedbert__text_section_tagged__n_segments_at_128,pubmedbert__text_concatenated__n_tokens,pubmedbert__text_concatenated__n_unk,pubmedbert__text_concatenated__unk_rate,pubmedbert__text_concatenated__n_segments_at_128,pathologybert__text_section_tagged__n_tokens,pathologybert__text_section_tagged__n_unk,pathologybert__text_section_tagged__unk_rate,pathologybert__text_section_tagged__n_segments_at_128,pathologybert__text_concatenated__n_tokens,pathologybert__text_concatenated__n_unk,pathologybert__text_concatenated__unk_rate,pathologybert__text_concatenated__n_segments_at_128
BAH-P-0143,1,False,112,0,0.0,1,88,0,0.0,1,92,0,0.0,1,68,3,0.04411764705882353,1
BAH-P-0144,1,False,110,0,0.0,1,81,0,0.0,1,107,0,0.0,1,77,4,0.05194805194805195,1
BAH-P-0145,1,False,101,0,0.0,1,73,0,0.0,1,101,0,0.0,1,72,4,0.05555555555555555,1
BAH-P-0146,1,False,86,0,0.0,1,62,0,0.0,1,83,0,0.0,1,59,3,0.05084745762711865,1
BAH-P-0147,1,False,141,0,0.0,2,113,0,0.0,1,128,2,0.015625,1,99,6,0.06060606060606061,1
BAH-P-0148,1,False,138,0,0.0,2,110,0,0.0,1,136,0,0.0,2,107,4,0.037383177570093455,1
BAH-P-0149,1,False,121,0,0.0,1,93,0,0.0,1,114,0,0.0,1,85,4,0.047058823529411764,1
BAH-P-0150,1,False,146,0,0.0,2,118,0,0.0,1,133,2,0.015037593984962405,2,104,6,0.057692307692307696,1
BAH-P-0151,1,True,90,0,0.0,1,62,0,0.0,1,83,0,0.0,1,54,4,0.07407407407407407,1
BAH-P-0152,1,False,116,0,0.0,1,88,0,0.0,1,108,0,0.0,1,79,4,0.05063291139240506,1
BAH-P-0153,1,False,137,0,0.0,2,109,0,0.0,1,125,4,0.032,1,96,8,0.08333333333333333,1
BAH-P-0154,1,False,110,0,0.0,1,82,0,0.0,1,104,0,0.0,1,75,4,0.05333333333333334,1
BAH-P-0155,1,False,110,0,0.0,1,82,0,0.0,1,105,2,0.01904761904761905,1,76,6,0.07894736842105263,1
BAH-P-0156,1,False,111,0,0.0,1,83,0,0.0,1,108,2,0.018518518518518517,1,79,6,0.0759493670886076,1
BAH-P-0157,1,False,136,0,0.0,2,108,0,0.0,1,131,0,0.0,2,102,4,0.0392156862745098,1
